,,,,,
,Services Under Braids,Length ,Size,Durations,Price
,Knotless Braids ,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£95, £115, £135, £155, £165"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£95, £125, £155, £165, £175"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£115, £135, £165, £185, £200"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£115, £155, £175, £195, £225"
,,,,,
,,,,,
,,Length ,Size,Durations,Price
,Box Braids,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£90, £110, £130, £150, £160"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£90, £120, £150, £160, £170"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£110, £130, £160, £180, £195"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£110, £150, £170, £190, £220"
,,,,,
,,,,,
,,Length ,Size,Durations,Price
,Boho Braids,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£105, £125, £135, £155, £165"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£115, £135, £155, £165, £175"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£115, £145, £175, £195, £215"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£125, £155, £185, £205, £225"
,,,,,
,,,,,
,,Length ,Size,Durations,Price
,Fulani Braids,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £115, £125, £135, £145"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£110, £125, £135, £145, £155"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £135, £145, £165, £185"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,
,,,,,
,,,,,
,,Length ,Size,Durations,Price
,Alicia Keys/Lemonade,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£75, £85, £95, £105, £115"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£85, £95, £105, £115, £125"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£95, £105, £115, £125, £135"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£105, £115, £125, £135, £145"
,,,,,
,,,,,
,,Bulk,Area,Durations,Price
,Feed In Stich + Butterfly,4,"Mid-back, Wast, Bum",,"£65, £75, £85"
,,6,"Mid-back, Wast, Bum",,"£75, £85, £95"
,,8,"Mid-back, Wast, Bum",,"£85, £95, £115"
,,10,"Mid-back, Wast, Bum",,"£95, £115, £125"
,,12+,"Mid-back, Wast, Bum",,"£115, £125, £135"
,,,,,
,,,,,
,,Length ,Size,Durations,Price
,French Curls,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £125, £145, £155, £165"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £125, £155, £165, £175"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £135, £165, £185, £200"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £155, £175, £195, £225"
,,,,,
,,,,,
,,Length ,Size,Durations,Price
,Goddess Braids + Pick Drop,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £125, £145, £155, £165"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £125, £155, £165, £175"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £135, £165, £185, £200"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £155, £175, £195, £225"
,,,,,
,,,,,
,,Length ,Size,Durations,Price
,Bone Straight,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £125, £145, £155, £165"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £125, £155, £165, £175"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £135, £165, £185, £200"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £155, £175, £195, £225"
,,,,,
,,,,,
,,Size,Durations,Price,
,Faux Locs,Medium,,£125,
,,SMedium,,£145,
,,Small,,£165,
,,Extra Small,,£175,
,,,,,
,,,,,
,,,,,
,Feed-in & Sew-in (Half-up Half Down,£120,3hr,"ADD-on (Simple Design £10, Complex Design £20)",